adopted,animal_type,sex,intake_condition,intake_type,age_years
0,reptile,Unknown,injured severe,other,0.999315537303217
0,cat,Neutered,normal,stray,0.6652977412731006
0,cat,Unknown,ill severe,stray,0.08487337440109514
0,cat,Female,injured moderate,stray,0.16700889801505817
0,cat,Male,under age/weight,stray,0.05201916495550993
0,dog,Female,injured moderate,stray,5.002053388090349
0,cat,Male,normal,stray,0.1697467488021903
0,dog,Female,normal,stray,1.002053388090349
0,cat,Female,normal,stray,0.008213552361396304
1,cat,Neutered,normal,stray,0.33401779603011633
0,dog,Male,normal,stray,4.999315537303217
0,cat,Male,ill severe,stray,0.08487337440109514
0,cat,Spayed,under age/weight,stray,0.07392197125256673
0,cat,Neutered,under age/weight,stray,0.07392197125256673
0,dog,Male,normal,stray,0.4134154688569473
0,dog,Male,injured severe,stray,3.0006844626967832
0,cat,Male,under age/weight,stray,0.057494866529774126
0,dog,Spayed,normal,stray,8.342231348391513
1,cat,Female,normal,stray,0.24914442162902123
0,cat,Male,injured severe,stray,0.07939767282683094
1,dog,Neutered,normal,stray,0.999315537303217
1,dog,Neutered,injured moderate,stray,3.0006844626967832
0,cat,Female,under age/weight,stray,0.16700889801505817
0,dog,Female,normal,owner surrender,1.998631074606434
1,dog,Female,normal,stray,0.999315537303217
0,rabbit,Neutered,normal,stray,0.974674880219028
0,cat,Female,injured moderate,stray,8
0,dog,Spayed,normal,stray,6.0013689253935665
0,dog,Male,normal,stray,12
1,dog,Neutered,normal,stray,3.0006844626967832
0,dog,Female,normal,other,3.0006844626967832
0,cat,Female,under age/weight,stray,0.11498973305954825
0,dog,Neutered,normal,stray,1.998631074606434
0,reptile,Unknown,normal,stray,0.999315537303217
0,cat,Female,injured severe,stray,1.998631074606434
0,cat,Male,under age/weight,stray,0.01642710472279261
1,dog,Neutered,normal,stray,1.995893223819302
1,dog,Neutered,normal,stray,0.8350444900752909
1,rabbit,Neutered,normal,stray,1.998631074606434
0,dog,Neutered,fractious,stray,0.999315537303217
0,dog,Male,normal,stray,0.999315537303217
0,dog,Neutered,normal,confiscate,3.9863107460643397
0,cat,Female,under age/weight,stray,0.10951403148528405
1,dog,Spayed,normal,stray,2.9979466119096507
0,cat,Spayed,normal,stray,2.001368925393566
0,cat,Neutered,ill moderate,stray,5.002053388090349
0,cat,Neutered,injured mild,stray,4
1,dog,Spayed,normal,stray,1.7494866529774127
1,cat,Spayed,under age/weight,stray,0.04654346338124572
1,cat,Neutered,under age/weight,stray,0.03559206023271732
1,cat,Spayed,under age/weight,stray,0.02737850787132101
1,dog,Male,normal,stray,8
0,dog,Neutered,normal,stray,0.4188911704312115
0,dog,Female,normal,stray,0.33675564681724846
0,cat,Neutered,injured severe,stray,4.999315537303217
1,dog,Spayed,ill moderate,stray,8
1,dog,Neutered,ill moderate,stray,3.0006844626967832
0,cat,Neutered,injured moderate,stray,7.000684462696783
0,cat,Male,ill moderate,stray,0.16700889801505817
1,dog,Neutered,normal,stray,1.9630390143737166
0,dog,Male,ill mild,stray,1.002053388090349
1,dog,Spayed,normal,stray,4
0,cat,Female,under age/weight,stray,0.08487337440109514
1,dog,Male,normal,owner surrender,5.002053388090349
0,dog,Female,normal,stray,2.9979466119096507
0,cat,Spayed,ill moderate,stray,0.6680355920602327
0,dog,Female,ill moderate,stray,1.002053388090349
0,dog,Male,normal,confiscate,8
0,dog,Spayed,ill moderate,stray,19.030800821355236
0,cat,Unknown,under age/weight,stray,0.0054757015742642025
0,cat,Unknown,under age/weight,stray,0.0054757015742642025
0,cat,Unknown,under age/weight,stray,0.0027378507871321013
0,dog,Spayed,normal,stray,4.941820670773443
0,dog,Male,normal,stray,2.220396988364134
1,cat,Neutered,under age/weight,stray,0.11772758384668036
0,cat,Male,ill mild,stray,0.11225188227241616
0,dog,Female,normal,stray,4
0,cat,Spayed,under age/weight,stray,0.07118412046543464
1,dog,Spayed,normal,return,0.3805612594113621
0,dog,Spayed,other,owner surrender,1.3990417522245038
0,dog,Male,normal,stray,9.998631074606434
0,dog,Male,ill severe,stray,10.001368925393566
1,dog,Neutered,normal,stray,0.7501711156741958
0,dog,Spayed,normal,owner surrender,2.674880219028063
0,dog,Male,injured moderate,stray,0.999315537303217
1,dog,Neutered,normal,stray,0.7529089664613279
0,dog,Female,under age/weight,stray,0.10130047912388775
1,cat,Spayed,under age/weight,stray,0.057494866529774126
0,dog,Female,ill moderate,stray,9.998631074606434
1,dog,Neutered,normal,stray,2.001368925393566
1,dog,Neutered,normal,stray,4
1,dog,Neutered,normal,owner surrender,1.68104038329911
1,dog,Spayed,normal,stray,4
0,cat,Male,normal,stray,0.08213552361396304
0,cat,Female,normal,stray,0.08213552361396304
0,cat,Spayed,normal,stray,0.999315537303217
1,dog,Spayed,normal,other,1.998631074606434
1,dog,Male,injured mild,stray,0.33675564681724846
1,cat,Female,other,stray,0.12320328542094455
1,cat,Spayed,under age/weight,stray,0.06023271731690623
0,cat,Unknown,injured severe,stray,3.0006844626967832
0,dog,Male,normal,stray,3.4934976043805612
0,dog,Female,injured mild,stray,8
0,dog,Female,normal,confiscate,1.2457221081451062
0,cat,Female,ill moderate,stray,0.999315537303217
0,dog,Male,normal,owner surrender,4.05201916495551
0,cat,Unknown,ill severe,stray,3.0006844626967832
0,cat,Male,normal,stray,1.998631074606434
0,cat,Neutered,ill mild,stray,4.514715947980835
0,cat,Spayed,ill mild,stray,1.002053388090349
0,cat,Spayed,ill mild,stray,1.002053388090349
0,cat,Unknown,under age/weight,stray,0
0,cat,Male,under age/weight,stray,0.08487337440109514
0,cat,Female,under age/weight,stray,0.08487337440109514
0,cat,Female,normal,stray,1.998631074606434
0,cat,Male,under age/weight,stray,0
0,cat,Female,normal,stray,3.0006844626967832
0,cat,Spayed,normal,stray,0.999315537303217
0,dog,Neutered,injured severe,stray,5.002053388090349
0,cat,Unknown,ill severe,stray,0.16700889801505817
1,cat,Spayed,under age/weight,stray,0.0054757015742642025
0,dog,Female,normal,stray,1.998631074606434
0,dog,Neutered,normal,stray,4
0,cat,Female,injured severe,stray,0.999315537303217
0,dog,Female,normal,owner surrender,4
0,cat,Male,ill moderate,stray,0.2518822724161533
0,cat,Spayed,normal,stray,3.0006844626967832
1,dog,Spayed,injured severe,stray,0.9144421629021219
0,dog,Neutered,injured moderate,owner surrender,11.72621492128679
0,cat,Female,under age/weight,stray,0.0054757015742642025
0,cat,Female,under age/weight,stray,0.0054757015742642025
1,dog,Spayed,normal,owner surrender,12
0,cat,Unknown,normal,stray,0.10951403148528405
0,cat,Unknown,under age/weight,stray,0.04380561259411362
0,cat,Male,injured severe,stray,2.9979466119096507
0,cat,Female,under age/weight,stray,0.09582477754962354
0,dog,Male,normal,stray,1.998631074606434
1,dog,Neutered,ill mild,stray,1.516769336071184
1,dog,Female,normal,welfare seized,0.999315537303217
0,dog,Male,normal,stray,3.0006844626967832
0,cat,Spayed,normal,stray,7.997262149212868
0,dog,Male,normal,owner surrender,0.999315537303217
1,cat,Neutered,normal,stray,0.33127994524298426
0,dog,Neutered,fractious,owner surrender,1.7138945927446954
0,cat,Neutered,ill moderate,stray,0.2518822724161533
1,cat,Spayed,normal,owner surrender,0.17248459958932238
0,dog,Male,normal,owner surrender,8
1,cat,Neutered,normal,owner surrender,0.17248459958932238
0,guinea pig,Female,normal,owner surrender,5.002053388090349
0,cat,Female,ill moderate,stray,0.12594113620807665
0,dog,Male,other,stray,2.9979466119096507
1,dog,Neutered,normal,stray,0.6598220396988365
0,cat,Female,normal,stray,0.999315537303217
0,cat,Female,under age/weight,stray,0.08213552361396304
0,cat,Unknown,under age/weight,stray,0.08487337440109514
0,cat,Unknown,ill mild,stray,3.0006844626967832
0,rabbit,Spayed,normal,stray,0.49555099247091033
0,dog,Male,other,owner surrender,10.99794661190965
0,dog,Female,normal,stray,2.001368925393566
0,cat,Male,injured severe,stray,4.999315537303217
0,dog,Male,normal,stray,8.824093086926762
0,dog,Male,ill moderate,owner surrender,0.5804243668720055
0,dog,Male,injured mild,stray,2.9979466119096507
1,rabbit,Neutered,normal,stray,0.4928131416837782
0,dog,Female,normal,stray,1.998631074606434
0,cat,Female,normal,stray,0.09308692676249145
0,dog,Male,ill severe,owner surrender,0.33675564681724846
0,cat,Male,under age/weight,stray,0.06570841889117043
0,dog,Male,normal,owner surrender,0.2874743326488706
0,dog,Female,normal,owner surrender,0.999315537303217
0,dog,Male,injured mild,stray,0.5749486652977412
0,dog,Male,normal,owner surrender,0.2874743326488706
0,dog,Unknown,normal,owner surrender,0.0027378507871321013
0,dog,Female,normal,owner surrender,0.49555099247091033
0,dog,Female,normal,owner surrender,0.2874743326488706
0,dog,Male,ill severe,owner surrender,12.038329911019849
1,dog,Neutered,normal,stray,0.4188911704312115
0,cat,Female,fractious,stray,0.999315537303217
0,cat,Female,normal,stray,3.0006844626967832
0,dog,Male,normal,stray,0.49007529089664614
0,cat,Neutered,fractious,stray,1.998631074606434
0,dog,Male,normal,owner surrender,1.998631074606434
0,cat,Unknown,injured severe,stray,6.997946611909651
0,dog,Male,normal,owner surrender,0.9965776865160849
1,dog,Female,injured moderate,stray,2.001368925393566
1,dog,Spayed,normal,stray,4
0,dog,Neutered,normal,other,1.998631074606434
0,cat,Neutered,injured severe,stray,4.1067761806981515
1,cat,Spayed,normal,welfare seized,5.002053388090349
0,dog,Female,normal,confiscate,0.8323066392881588
0,cat,Female,under age/weight,stray,0.216290212183436
0,cat,Female,under age/weight,stray,0.06570841889117043
0,cat,Female,ill mild,stray,15.000684462696784
0,dog,Female,ill severe,stray,0.4188911704312115
0,cat,Female,normal,stray,12.999315537303216
0,cat,Female,under age/weight,stray,0.07392197125256673
0,cat,Male,ill severe,stray,1.002053388090349
0,cat,Male,under age/weight,stray,0.07392197125256673
0,dog,Spayed,normal,owner surrender,8.999315537303216
0,cat,Male,under age/weight,stray,0.008213552361396304
0,cat,Female,under age/weight,stray,0.008213552361396304
0,reptile,Female,normal,stray,3.0006844626967832
0,cat,Neutered,fractious,stray,4
0,cat,Neutered,normal,stray,1.998631074606434
0,dog,Spayed,normal,owner surrender,3.134839151266256
0,dog,Male,normal,other,1.3141683778234086
0,cat,Unknown,normal,stray,0.5804243668720055
0,dog,Spayed,normal,stray,1.727583846680356
0,cat,Neutered,normal,stray,4.999315537303217
0,dog,Spayed,normal,other,7.17864476386037
0,dog,Male,normal,stray,8.629705681040383
0,dog,Female,normal,stray,2.001368925393566
0,cat,Female,ill severe,stray,1.998631074606434
0,dog,Spayed,normal,stray,3.0006844626967832
0,dog,Male,normal,stray,3.0006844626967832
0,dog,Female,normal,stray,4.999315537303217
0,cat,Female,normal,owner surrender,0.33675564681724846
0,cat,Male,ill severe,stray,0.8323066392881588
0,cat,Male,normal,owner surrender,2.001368925393566
1,dog,Spayed,normal,owner surrender,2.001368925393566
0,cat,Female,under age/weight,owner surrender,0.04654346338124572
0,cat,Male,normal,owner surrender,4
0,cat,Female,under age/weight,owner surrender,0.06570841889117043
0,cat,Male,under age/weight,stray,0.08487337440109514
1,cat,Neutered,normal,owner surrender,2.001368925393566
0,cat,Neutered,ill mild,stray,3.0006844626967832
0,cat,Male,under age/weight,stray,0.10677618069815195
1,cat,Spayed,under age/weight,stray,0.07392197125256673
0,cat,Male,under age/weight,stray,0.10677618069815195
0,dog,Neutered,normal,owner surrender,5.9986310746064335
0,dog,Female,normal,confiscate,6.997946611909651
0,cat,Unknown,under age/weight,stray,0.08487337440109514
0,dog,Male,ill mild,stray,0.999315537303217
0,cat,Male,under age/weight,stray,0.04106776180698152
0,dog,Spayed,normal,confiscate,9.634496919917865
0,reptile,Unknown,normal,owner surrender,2.001368925393566
1,cat,Spayed,ill mild,stray,0.2518822724161533
0,cat,Male,under age/weight,stray,0.09582477754962354
0,cat,Spayed,normal,stray,0.999315537303217
0,cat,Male,under age/weight,stray,0.09582477754962354
0,cat,Female,under age/weight,stray,0.08487337440109514
0,cat,Female,under age/weight,stray,0.09582477754962354
0,cat,Male,under age/weight,stray,0.06570841889117043
0,cat,Neutered,normal,stray,0.12594113620807665
0,cat,Female,under age/weight,stray,0.06570841889117043
1,cat,Spayed,normal,owner surrender,0.648870636550308
0,cat,Male,under age/weight,stray,0.06570841889117043
0,cat,Male,under age/weight,stray,0.06570841889117043
1,dog,Neutered,normal,stray,1.998631074606434
0,cat,Female,injured mild,stray,0.33127994524298426
1,dog,Female,normal,owner surrender,7.258042436687201
0,cat,Female,ill mild,stray,0.04380561259411362
0,cat,Male,under age/weight,stray,0.08487337440109514
0,dog,Neutered,normal,stray,5.322381930184805
1,cat,Spayed,under age/weight,stray,0.08487337440109514
1,dog,Spayed,normal,owner surrender,5.160848733744011
1,cat,Spayed,normal,owner surrender,0.47638603696098564
0,cat,Spayed,normal,stray,0.33401779603011633
1,cat,Spayed,normal,owner surrender,0.30390143737166325
0,cat,Male,under age/weight,stray,0.057494866529774126
0,cat,Male,under age/weight,stray,0.09856262833675565
0,cat,Spayed,normal,stray,0.33401779603011633
1,dog,Neutered,normal,stray,1.002053388090349
0,cat,Male,injured severe,stray,0.038329911019849415
0,dog,Male,normal,stray,3.0006844626967832
1,dog,Spayed,other,stray,0.7529089664613279
0,dog,Spayed,ill mild,stray,9.995893223819301
0,cat,Spayed,normal,return,0.38329911019849416
0,cat,Female,ill severe,stray,0.08487337440109514
0,dog,Male,other,confiscate,4
1,cat,Neutered,normal,stray,0.2518822724161533
0,cat,Unknown,injured severe,stray,3.0006844626967832
0,cat,Spayed,normal,stray,1.1225188227241616
0,cat,Female,ill mild,stray,0.08487337440109514
0,cat,Unknown,under age/weight,stray,0.06023271731690623
0,cat,Female,under age/weight,stray,0.10130047912388775
0,dog,Female,injured severe,owner surrender,1.002053388090349
0,cat,Female,ill moderate,stray,0.08213552361396304
0,cat,Spayed,normal,owner surrender,1.998631074606434
0,dog,Neutered,ill mild,owner surrender,8
0,dog,Male,normal,owner surrender,3.0006844626967832
0,cat,Male,normal,stray,0.2080766598220397
0,cat,Male,injured severe,stray,2.9979466119096507
1,dog,Spayed,fractious,stray,1.998631074606434
0,cat,Male,injured severe,stray,4
0,dog,Neutered,other,stray,4
1,dog,Male,normal,stray,1.054072553045859
0,dog,Female,normal,stray,6.0013689253935665
0,cat,Unknown,under age/weight,stray,0
1,cat,Neutered,under age/weight,stray,0.16700889801505817
0,cat,Male,normal,owner surrender,1.002053388090349
1,dog,Neutered,normal,stray,2.001368925393566
0,rabbit,Neutered,normal,stray,0.9883641341546886
1,dog,Female,normal,stray,9.998631074606434
0,dog,Male,normal,confiscate,4.804928131416838
0,cat,Neutered,normal,stray,2.001368925393566
0,cat,Male,under age/weight,stray,0.08213552361396304
1,cat,Neutered,ill severe,stray,0.13415468856947296
1,cat,Neutered,injured mild,stray,0.16700889801505817
0,cat,Male,under age/weight,stray,0.09856262833675565
1,dog,Neutered,normal,stray,2.9979466119096507
0,cat,Spayed,fractious,stray,0.6707734428473648
0,cat,Unknown,ill severe,stray,5.002053388090349
0,cat,Neutered,fractious,stray,0.5037645448323066
0,cat,Spayed,fractious,stray,1.998631074606434
0,cat,Neutered,fractious,stray,4
0,dog,Male,normal,stray,0.2546201232032854
0,cat,Neutered,under age/weight,stray,0.049281314168377825
0,cat,Spayed,fractious,stray,3.0006844626967832
0,cat,Unknown,injured severe,stray,0.5037645448323066
1,dog,Female,other,stray,0.999315537303217
0,cat,Male,normal,stray,0.16700889801505817
0,cat,Spayed,other,owner surrender,5.861738535249829
0,cat,Female,normal,owner surrender,0.999315537303217
0,dog,Male,normal,stray,0.999315537303217
0,cat,Neutered,ill moderate,stray,8.75564681724846
1,dog,Neutered,injured mild,stray,12
1,dog,Spayed,normal,stray,0.24914442162902123
0,cat,Female,injured severe,stray,0.16700889801505817
0,dog,Male,under age/weight,stray,0.13415468856947296
0,cat,Female,under age/weight,stray,0.019164955509924708
0,dog,Male,injured severe,owner surrender,10.379192334017796
1,dog,Male,normal,owner surrender,3.4962354551676933
0,cat,Unknown,under age/weight,stray,0
1,cat,Spayed,normal,stray,0.33675564681724846
0,cat,Female,ill moderate,stray,3.0006844626967832
0,cat,Unknown,under age/weight,stray,0
1,cat,Spayed,normal,stray,0.5804243668720055
0,dog,Female,normal,stray,0.4188911704312115
0,cat,Neutered,normal,stray,1.002053388090349
0,cat,Neutered,under age/weight,stray,0.03559206023271732
1,cat,Neutered,ill severe,stray,3.997262149212868
0,cat,Spayed,under age/weight,stray,0.03559206023271732
0,cat,Female,under age/weight,stray,0.057494866529774126
0,cat,Male,ill moderate,stray,0.08487337440109514
0,cat,Male,under age/weight,stray,0.057494866529774126
1,cat,Spayed,normal,owner surrender,9.544147843942506
1,cat,Neutered,injured mild,stray,0.16700889801505817
0,cat,Male,under age/weight,stray,0.04380561259411362
0,dog,Male,normal,stray,0.999315537303217
0,dog,Spayed,injured moderate,stray,4.999315537303217
0,cat,Female,normal,stray,0.16700889801505817
0,dog,Male,normal,owner surrender,3.2087611225188226
1,cat,Female,under age/weight,stray,0.06570841889117043
0,cat,Male,under age/weight,stray,0.05201916495550993
1,cat,Spayed,normal,stray,0.9801505817932923
0,dog,Female,normal,confiscate,0.24093086926762491
0,dog,Female,injured moderate,stray,4.999315537303217
0,cat,Female,normal,stray,0.008213552361396304
0,dog,Female,under age/weight,stray,0.09308692676249145
0,cat,Male,under age/weight,stray,0.08487337440109514
0,cat,Male,normal,stray,0.008213552361396304
0,cat,Female,normal,stray,0.008213552361396304
0,dog,Neutered,normal,stray,3.0006844626967832
0,cat,Male,normal,stray,0.33675564681724846
1,cat,Neutered,under age/weight,stray,0.08213552361396304
1,cat,Spayed,under age/weight,stray,0.08213552361396304
1,cat,Neutered,normal,stray,0.33401779603011633
0,dog,Male,injured severe,stray,1.998631074606434
0,cat,Unknown,under age/weight,stray,0.0054757015742642025
0,dog,Female,normal,stray,1.998631074606434
0,cat,Female,under age/weight,stray,0.08213552361396304
0,cat,Female,under age/weight,stray,0.08213552361396304
0,cat,Male,ill severe,stray,0.08487337440109514
1,cat,Neutered,ill severe,stray,4.999315537303217
0,dog,Male,injured mild,stray,6.995208761122519
0,cat,Female,under age/weight,stray,0.08487337440109514
1,cat,Spayed,normal,stray,1.002053388090349
0,cat,Neutered,ill severe,stray,0.5010266940451745
0,cat,Spayed,under age/weight,stray,0.07392197125256673
0,cat,Unknown,ill severe,stray,1.998631074606434
0,cat,Neutered,injured moderate,stray,1.998631074606434
0,dog,Male,other,confiscate,0.2518822724161533
0,dog,Male,normal,stray,1.998631074606434
1,dog,Neutered,normal,confiscate,1.998631074606434
1,cat,Spayed,normal,stray,0.01642710472279261
0,dog,Neutered,normal,owner surrender,6.535249828884326
0,cat,Male,normal,stray,0.08487337440109514
1,cat,Spayed,injured moderate,stray,0.12594113620807665
0,cat,Male,under age/weight,stray,0.019164955509924708
0,dog,Male,injured severe,stray,4.999315537303217
0,cat,Female,normal,stray,0.08487337440109514
1,dog,Neutered,normal,stray,4.999315537303217
0,cat,Male,under age/weight,stray,0.057494866529774126
0,dog,Neutered,ill mild,stray,4.993839835728953
0,cat,Neutered,normal,stray,0.01642710472279261
0,cat,Female,under age/weight,stray,0.019164955509924708
0,cat,Male,under age/weight,stray,0.019164955509924708
1,cat,Spayed,injured moderate,stray,0.16700889801505817
1,cat,Spayed,normal,stray,0.16700889801505817
0,cat,Unknown,ill severe,stray,0.2518822724161533
0,cat,Male,injured mild,stray,3.0006844626967832
0,cat,Female,ill severe,stray,1.998631074606434
0,cat,Female,under age/weight,stray,0.05475701574264202
0,cat,Male,under age/weight,stray,0.08487337440109514
0,cat,Male,ill moderate,stray,0.08487337440109514
0,dog,Male,normal,confiscate,1.002053388090349
0,dog,Spayed,ill severe,confiscate,18.64476386036961
0,cat,Neutered,normal,stray,8
0,dog,Neutered,normal,stray,9.08145106091718
1,dog,Neutered,normal,stray,0.999315537303217
0,dog,Male,normal,owner surrender,0.9144421629021219
0,cat,Female,normal,owner surrender,0.33401779603011633
0,dog,Female,normal,stray,3.0006844626967832
1,dog,Spayed,normal,stray,1.998631074606434
0,guinea pig,Female,normal,owner surrender,2.4969199178644765
1,dog,Spayed,normal,stray,2.9897330595482545
0,cat,Male,ill severe,stray,4
0,reptile,Unknown,injured moderate,stray,4.999315537303217
0,cat,Neutered,injured moderate,stray,0.999315537303217
1,dog,Neutered,normal,stray,6.469541409993155
0,cat,Male,normal,owner surrender,0.7501711156741958
0,guinea pig,Male,normal,owner surrender,1.998631074606434
0,cat,Female,normal,owner surrender,16
0,dog,Male,normal,stray,0.999315537303217
0,cat,Male,ill severe,stray,0.04106776180698152
0,cat,Female,normal,stray,0.12320328542094455
1,dog,Spayed,normal,stray,1.002053388090349
0,dog,Male,injured mild,stray,3.865845311430527
1,cat,Neutered,under age/weight,stray,0.07665982203969883
0,cat,Spayed,normal,owner surrender,1.4948665297741273
0,dog,Female,normal,stray,0.8323066392881588
0,cat,Neutered,normal,welfare seized,0.16153319644079397
0,dog,Female,normal,stray,7.000684462696783
0,cat,Male,normal,welfare seized,12
0,cat,Female,normal,welfare seized,0.08213552361396304
0,cat,Spayed,under age/weight,stray,0.11498973305954825
1,cat,Neutered,normal,welfare seized,8.958247775496236
0,cat,Neutered,under age/weight,stray,0.11498973305954825
0,cat,Male,normal,welfare seized,0.6625598904859685
1,dog,Neutered,normal,owner surrender,3.0006844626967832
0,dog,Neutered,normal,owner surrender,4.955509924709103
0,cat,Spayed,ill moderate,return,5.01574264202601
0,cat,Male,under age/weight,stray,0.06570841889117043
1,cat,Neutered,normal,owner surrender,4.980150581793292
0,dog,Female,normal,owner surrender,0.3203285420944558
0,dog,Female,normal,owner surrender,0.3203285420944558
0,cat,Female,under age/weight,stray,0.01642710472279261
0,cat,Female,under age/weight,stray,0.01642710472279261
0,cat,Female,normal,owner surrender,0.6707734428473648
0,cat,Female,under age/weight,stray,0.01642710472279261
0,cat,Male,under age/weight,stray,0.01642710472279261
0,dog,Neutered,normal,stray,1.3305954825462012
0,dog,Male,normal,stray,3.0006844626967832
1,cat,Neutered,injured moderate,stray,4
0,guinea pig,Female,normal,owner surrender,1.998631074606434
1,dog,Spayed,normal,stray,1.5030800821355237
0,dog,Female,injured mild,owner surrender,2.001368925393566
0,guinea pig,Female,normal,owner surrender,1.998631074606434
1,cat,Neutered,normal,owner surrender,8
0,cat,Female,under age/weight,stray,0.07665982203969883
0,dog,Neutered,normal,stray,0.999315537303217
0,cat,Spayed,fractious,stray,1.002053388090349
1,cat,Neutered,ill mild,stray,0.15058179329226556
0,cat,Female,normal,stray,0.16700889801505817
0,cat,Male,fractious,stray,0.16700889801505817
0,cat,Male,injured moderate,stray,0.6844626967830253
0,dog,Neutered,other,stray,0.999315537303217
1,dog,Neutered,normal,stray,0.8350444900752909
0,dog,Spayed,normal,stray,3.0006844626967832
1,dog,Spayed,normal,return,0.8815879534565366
0,cat,Neutered,injured mild,stray,18.09719370294319
