adopted,animal_type,sex,intake_condition,intake_type,age_years,age_scaled
0,cat,Neutered,normal,welfare seized,2.236824093086927,-0.043511224551962976
0,dog,Neutered,normal,other,6.751540041067762,1.3361933797382022
0,cat,Spayed,under age/weight,stray,0.06570841889117043,-0.707007738319156
0,dog,Spayed,other,owner surrender,2.5708418891170433,0.05856516218145129
0,cat,Unknown,under age/weight,stray,0.09856262833675565,-0.6969674379847217
0,dog,Female,normal,stray,0.49555099247091033,-0.5756471422769753
0,dog,Female,normal,stray,0.999315537303217,-0.42169587048231766
0,cat,Unknown,under age/weight,stray,0.0054757015742642025,-0.725414955598952
0,dog,Female,injured severe,owner surrender,0.4106776180698152,-0.601584584807597
0,cat,Male,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,dog,Neutered,normal,stray,4,0.4953182267293386
0,cat,Neutered,ill mild,owner surrender,3.0061601642710474,0.19159914161270436
0,cat,Unknown,under age/weight,stray,0.03559206023271732,-0.716211346959054
0,cat,Female,under age/weight,stray,0.05201916495550993,-0.711191196791837
0,cat,Male,under age/weight,stray,0.11498973305954825,-0.6919472878175047
0,cat,Spayed,ill mild,stray,0.08213552361396304,-0.7019875881519388
0,dog,Female,normal,stray,4.999315537303217,0.8007106952350455
0,cat,Unknown,under age/weight,stray,0.10677618069815195,-0.6944573629011133
0,dog,Female,normal,owner surrender,0.33401779603011633,-0.62501195225461
0,dog,Neutered,normal,stray,2.9979466119096507,0.1890890665290957
0,cat,Unknown,normal,stray,0.2464065708418891,-0.6517860864797679
0,dog,Neutered,normal,stray,1.998631074606434,-0.11630340197661093
0,cat,Female,normal,stray,2.001368925393566,-0.11546671028207477
0,dog,Female,ill severe,stray,8,1.7177247924467018
0,cat,Spayed,fractious,stray,7.000684462696783,1.4123323239409948
0,cat,Female,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,cat,Female,under age/weight,stray,0.04106776180698152,-0.7145379635699817
0,cat,Male,under age/weight,stray,0.01642710472279261,-0.7220681888208074
0,dog,Spayed,injured severe,stray,0.6269678302532512,-0.5354859409392385
0,cat,Unknown,under age/weight,stray,0.08487337440109514,-0.7011508964574027
0,dog,Spayed,other,stray,5.861738535249829,1.064268579013943
0,dog,Neutered,normal,owner surrender,6.535249828884326,1.2700947358698438
0,dog,Male,normal,stray,0.999315537303217,-0.42169587048231766
0,dog,Female,normal,stray,0.9965776865160849,-0.4225325621768538
0,dog,Female,normal,stray,1.002053388090349,-0.42085917878778145
0,cat,Female,injured mild,stray,1.998631074606434,-0.11630340197661093
0,cat,Unknown,ill severe,stray,12,2.9401313581640647
0,reptile,Male,ill moderate,other,0.999315537303217,-0.42169587048231766
0,cat,Female,ill mild,stray,0.16700889801505817,-0.6760501456213172
0,cat,Female,normal,owner surrender,1.998631074606434,-0.11630340197661093
0,cat,Female,ill severe,stray,0.10130047912388775,-0.6961307462901856
0,dog,Male,under age/weight,stray,0.07392197125256673,-0.7044976632355474
0,dog,Male,normal,stray,8,1.7177247924467018
0,cat,Male,normal,stray,4,0.4953182267293386
0,dog,Male,normal,stray,7.000684462696783,1.4123323239409948
0,dog,Female,normal,stray,0.9965776865160849,-0.4225325621768538
0,cat,Male,injured mild,stray,0.16700889801505817,-0.6760501456213172
0,dog,Spayed,normal,owner surrender,13.062286105407255,3.2647677356441034
0,dog,Neutered,normal,stray,1.0349075975359343,-0.41081887845334725
0,dog,Male,normal,stray,2.001368925393566,-0.11546671028207477
0,dog,Female,normal,stray,0.2518822724161533,-0.6501127030906956
0,cat,Neutered,under age/weight,stray,0.01642710472279261,-0.7220681888208074
0,cat,Neutered,ill moderate,stray,7.000684462696783,1.4123323239409948
0,cat,Male,normal,welfare seized,0.08213552361396304,-0.7019875881519388
0,cat,Spayed,ill mild,owner surrender,2.9979466119096507,0.1890890665290957
0,dog,Spayed,normal,stray,6.0013689253935665,1.1069398554352883
0,cat,Male,normal,stray,0.1697467488021903,-0.675213453926781
0,cat,Female,ill moderate,stray,0.9965776865160849,-0.4225325621768538
0,cat,Female,under age/weight,stray,0.057494866529774126,-0.7095178134027644
0,cat,Female,under age/weight,stray,0.01642710472279261,-0.7220681888208074
0,cat,Unknown,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,cat,Female,under age/weight,stray,0,-0.7270883389880244
0,cat,Neutered,injured mild,stray,4,0.4953182267293386
0,cat,Female,under age/weight,stray,0.11772758384668036,-0.6911105961229685
0,cat,Male,under age/weight,stray,0.05475701574264202,-0.7103545050973008
0,cat,Neutered,ill mild,stray,3.0006844626967832,0.189925758223632
0,dog,Male,normal,stray,4,0.4953182267293386
0,rabbit,Neutered,normal,stray,0.9938398357289527,-0.42336925387139007
0,cat,Male,under age/weight,stray,0.08487337440109514,-0.7011508964574027
0,cat,Spayed,normal,stray,0.4188911704312115,-0.5990745097239883
0,cat,Male,under age/weight,stray,0.038329911019849415,-0.7153746552645178
0,dog,Male,normal,stray,0.6652977412731006,-0.523772257215732
0,dog,Male,normal,stray,2.9979466119096507,0.1890890665290957
0,cat,Female,injured moderate,stray,0.15879534565366188,-0.6785602207049258
0,dog,Neutered,normal,stray,1.5879534565366187,-0.24180715615703838
0,dog,Neutered,normal,other,3.0006844626967832,0.189925758223632
0,cat,Neutered,fractious,stray,4.369609856262834,0.6082716054917233
0,dog,Female,normal,stray,6.0013689253935665,1.1069398554352883
0,cat,Female,under age/weight,stray,0.09856262833675565,-0.6969674379847217
0,dog,Neutered,other,welfare seized,4.057494866529774,0.5128887523145985
0,cat,Neutered,normal,stray,3.0006844626967832,0.189925758223632
0,dog,Male,normal,stray,1.4948665297741273,-0.2702546737712686
0,dog,Male,normal,owner surrender,8,1.7177247924467018
0,dog,Neutered,normal,owner surrender,8,1.7177247924467018
0,dog,Neutered,normal,stray,7.441478439425051,1.5470396867613203
0,cat,Female,under age/weight,stray,0.10130047912388775,-0.6961307462901856
0,cat,Female,normal,stray,3.0006844626967832,0.189925758223632
0,dog,Male,normal,stray,0.999315537303217,-0.42169587048231766
0,dog,Male,normal,owner surrender,0.16700889801505817,-0.6760501456213172
0,cat,Male,ill moderate,stray,0.11498973305954825,-0.6919472878175047
0,dog,Spayed,normal,owner surrender,8.062970568104038,1.736968701421034
0,dog,Male,normal,stray,0.999315537303217,-0.42169587048231766
0,cat,Spayed,feral,stray,2.001368925393566,-0.11546671028207477
0,dog,Male,normal,stray,3.0006844626967832,0.189925758223632
0,cat,Male,injured severe,stray,0.24914442162902123,-0.6509493947852317
0,dog,Neutered,normal,stray,1.4976043805612593,-0.2694179820767324
0,dog,Male,normal,other,0.29021218343600275,-0.638399019367189
0,cat,Spayed,normal,stray,1.998631074606434,-0.11630340197661093
0,cat,Female,under age/weight,stray,0.06570841889117043,-0.707007738319156
0,dog,Male,normal,stray,2.9979466119096507,0.1890890665290957
0,cat,Female,normal,stray,2.001368925393566,-0.11546671028207477
0,cat,Male,ill mild,stray,8,1.7177247924467018
0,cat,Male,ill severe,stray,3.0006844626967832,0.189925758223632
0,cat,Male,under age/weight,stray,0.019164955509924708,-0.721231497126271
0,dog,Female,normal,stray,5.3963039014373715,0.9220309909427918
0,dog,Female,normal,stray,7.000684462696783,1.4123323239409948
0,dog,Male,normal,stray,12,2.9401313581640647
0,cat,Female,under age/weight,stray,0.0054757015742642025,-0.725414955598952
0,dog,Neutered,normal,stray,2.001368925393566,-0.11546671028207477
0,dog,Male,normal,stray,4.999315537303217,0.8007106952350455
0,dog,Neutered,normal,stray,0.999315537303217,-0.42169587048231766
0,cat,Female,injured severe,stray,0.5037645448323066,-0.5731370671933667
0,dog,Female,normal,owner surrender,4.999315537303217,0.8007106952350455
0,cat,Female,under age/weight,stray,0.057494866529774126,-0.7095178134027644
0,cat,Neutered,under age/weight,stray,0.11498973305954825,-0.6919472878175047
0,cat,Unknown,ill severe,stray,0.16700889801505817,-0.6760501456213172
0,dog,Male,normal,stray,3.0006844626967832,0.189925758223632
0,dog,Male,normal,stray,1.998631074606434,-0.11630340197661093
0,cat,Spayed,fractious,stray,4.999315537303217,0.8007106952350455
0,cat,Female,normal,stray,3.0006844626967832,0.189925758223632
0,dog,Female,ill mild,stray,8.999315537303216,2.023117260952408
0,dog,Female,normal,stray,3.3401779603011637,0.2936755283461186
0,dog,Male,normal,stray,0.9965776865160849,-0.4225325621768538
0,cat,Female,under age/weight,stray,0.11498973305954825,-0.6919472878175047
0,cat,Spayed,normal,stray,0.999315537303217,-0.42169587048231766
0,rabbit,Neutered,normal,owner surrender,0.999315537303217,-0.42169587048231766
0,cat,Female,under age/weight,stray,0.008213552361396304,-0.7245782639044158
0,cat,Male,fractious,stray,0.019164955509924708,-0.721231497126271
0,cat,Unknown,under age/weight,stray,0.04106776180698152,-0.7145379635699817
0,cat,Female,under age/weight,stray,0.06570841889117043,-0.707007738319156
0,cat,Female,normal,owner surrender,0.32854209445585214,-0.6266853356436825
0,rabbit,Spayed,normal,stray,4,0.4953182267293386
0,cat,Unknown,ill severe,stray,4,0.4953182267293386
0,dog,Female,normal,stray,3.0006844626967832,0.189925758223632
0,dog,Female,normal,stray,8,1.7177247924467018
0,cat,Male,injured severe,stray,4.999315537303217,0.8007106952350455
0,dog,Spayed,other,stray,12.988364134154688,3.2421770598916266
0,dog,Neutered,normal,stray,12,2.9401313581640647
0,cat,Female,injured severe,stray,0.08213552361396304,-0.7019875881519388
0,cat,Male,other,stray,0.08487337440109514,-0.7011508964574027
0,cat,Female,normal,stray,0.16700889801505817,-0.6760501456213172
0,dog,Male,under age/weight,stray,0.24914442162902123,-0.6509493947852317
0,cat,Unknown,under age/weight,stray,0.008213552361396304,-0.7245782639044158
0,dog,Neutered,normal,other,6.9048596851471595,1.3830481146322284
0,dog,Neutered,normal,stray,2.2039698836413417,-0.05355152488639719
0,cat,Male,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,rabbit,Neutered,normal,owner surrender,0.12594113620807665,-0.68860052103936
0,dog,Male,normal,stray,2.4996577686516086,0.036811178123510535
0,dog,Female,normal,welfare seized,3.991786447638604,0.4928081516457301
0,dog,Female,normal,other,9.998631074606434,2.328509729458115
0,cat,Male,injured severe,stray,4.999315537303217,0.8007106952350455
0,cat,Female,ill mild,stray,0.09582477754962354,-0.6978041296792579
0,cat,Female,normal,welfare seized,4.999315537303217,0.8007106952350455
0,cat,Unknown,under age/weight,stray,0.06570841889117043,-0.707007738319156
0,cat,Male,normal,stray,0.16700889801505817,-0.6760501456213172
0,dog,Spayed,other,stray,14.806297056810404,3.797740345063652
0,dog,Neutered,normal,owner surrender,0.9965776865160849,-0.4225325621768538
0,cat,Female,normal,stray,1.998631074606434,-0.11630340197661093
0,dog,Male,normal,stray,3.0006844626967832,0.189925758223632
0,dog,Male,normal,stray,6.995208761122519,1.4106589405519223
0,cat,Unknown,under age/weight,stray,0.0027378507871321013,-0.7262516472934881
0,dog,Male,normal,stray,8,1.7177247924467018
0,dog,Male,normal,stray,3.0006844626967832,0.189925758223632
0,cat,Male,under age/weight,stray,0.09856262833675565,-0.6969674379847217
0,cat,Male,normal,stray,0.24914442162902123,-0.6509493947852317
0,cat,Unknown,injured severe,confiscate,0.01642710472279261,-0.7220681888208074
0,cat,Male,normal,stray,0.1697467488021903,-0.675213453926781
0,cat,Male,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,dog,Male,normal,owner surrender,1.6180698151950719,-0.23260354751714035
0,dog,Neutered,ill moderate,stray,14.576317590691307,3.7274582427226126
0,dog,Female,normal,stray,1.0376454483230664,-0.4099821867588111
0,cat,Female,normal,stray,0.08213552361396304,-0.7019875881519388
0,cat,Spayed,injured severe,stray,0.16700889801505817,-0.6760501456213172
0,cat,Female,injured severe,stray,0.16700889801505817,-0.6760501456213172
0,cat,Female,normal,owner surrender,0.33675564681724846,-0.6241752605600739
0,guinea pig,Female,normal,owner surrender,0.999315537303217,-0.42169587048231766
0,cat,Spayed,fractious,stray,0.7474332648870636,-0.49867150637964647
0,dog,Neutered,normal,stray,2.9979466119096507,0.1890890665290957
0,dog,Male,normal,stray,0.16700889801505817,-0.6760501456213172
0,cat,Male,ill severe,stray,0.999315537303217,-0.42169587048231766
0,dog,Male,normal,stray,4.999315537303217,0.8007106952350455
0,dog,Spayed,normal,stray,6.0013689253935665,1.1069398554352883
0,cat,Unknown,ill severe,stray,0.13415468856947296,-0.6860904459557513
0,cat,Female,under age/weight,stray,0.049281314168377825,-0.7120278884863731
0,cat,Male,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,dog,Male,normal,stray,0.4188911704312115,-0.5990745097239883
0,cat,Female,under age/weight,stray,0.12594113620807665,-0.68860052103936
0,dog,Male,normal,stray,10.743326488706366,2.556089870371957
0,dog,Male,other,stray,0.999315537303217,-0.42169587048231766
0,cat,Male,normal,confiscate,2.001368925393566,-0.11546671028207477
0,dog,Neutered,normal,return,1.0704996577686516,-0.3999418864243769
0,dog,Male,normal,stray,1.9822039698836413,-0.12132355214382805
0,dog,Female,normal,stray,1.4976043805612593,-0.2694179820767324
0,cat,Male,normal,stray,0.5037645448323066,-0.5731370671933667
0,cat,Female,normal,stray,0.16700889801505817,-0.6760501456213172
0,cat,Neutered,ill moderate,stray,1.51129363449692,-0.2652345236040515
0,cat,Neutered,under age/weight,stray,0.08487337440109514,-0.7011508964574027
0,cat,Male,under age/weight,stray,0.16700889801505817,-0.6760501456213172
0,dog,Spayed,normal,stray,5.002053388090349,0.8015473869295816
0,dog,Neutered,normal,stray,7.014373716632443,1.4165157824136758
0,dog,Female,normal,stray,1.998631074606434,-0.11630340197661093
0,dog,Male,other,stray,2.9979466119096507,0.1890890665290957
0,cat,Spayed,normal,stray,4.999315537303217,0.8007106952350455
0,cat,Neutered,normal,stray,0.33675564681724846,-0.6241752605600739
0,cat,Neutered,ill mild,stray,5.002053388090349,0.8015473869295816
0,dog,Male,normal,stray,2.412046543463381,0.010037043898352607
0,dog,Female,normal,stray,1.998631074606434,-0.11630340197661093
0,dog,Female,normal,stray,2.001368925393566,-0.11546671028207477
0,cat,Female,under age/weight,stray,0.06297056810403832,-0.7078444300136921
0,cat,Female,normal,stray,3.0006844626967832,0.189925758223632
0,cat,Male,normal,stray,0.09034907597535935,-0.6994775130683303
0,cat,Female,under age/weight,stray,0.05475701574264202,-0.7103545050973008
0,cat,Unknown,under age/weight,stray,0.049281314168377825,-0.7120278884863731
0,dog,Female,normal,stray,1.3880903490759753,-0.30288564985817973
0,cat,Female,ill severe,stray,4,0.4953182267293386
0,dog,Male,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,dog,Male,normal,stray,1.998631074606434,-0.11630340197661093
0,dog,Female,normal,stray,1.998631074606434,-0.11630340197661093
0,dog,Male,other,stray,3.0006844626967832,0.189925758223632
0,cat,Male,injured mild,stray,3.0006844626967832,0.189925758223632
0,dog,Female,injured mild,stray,2.001368925393566,-0.11546671028207477
0,dog,Male,normal,confiscate,2.5900068446269677,0.0644220040432045
0,dog,Neutered,injured severe,owner surrender,11.66050650239562,2.8363815880415784
0,dog,Spayed,normal,stray,0.8323066392881588,-0.4727340638490248
0,dog,Male,normal,stray,4,0.4953182267293386
0,cat,Neutered,injured mild,stray,2.001368925393566,-0.11546671028207477
0,cat,Male,injured severe,stray,8,1.7177247924467018
0,dog,Male,normal,stray,2.001368925393566,-0.11546671028207477
0,cat,Neutered,normal,stray,3.463381245722108,0.3313266546002468
0,cat,Female,normal,stray,3.0006844626967832,0.189925758223632
0,dog,Spayed,normal,stray,2.8720054757015743,0.15060124858043136
0,cat,Female,ill severe,stray,0.11772758384668036,-0.6911105961229685
0,cat,Female,under age/weight,stray,0.038329911019849415,-0.7153746552645178
0,cat,Female,under age/weight,stray,0.09856262833675565,-0.6969674379847217
0,dog,Female,normal,stray,4,0.4953182267293386
0,dog,Male,normal,stray,0.999315537303217,-0.42169587048231766
0,cat,Male,normal,stray,0.16700889801505817,-0.6760501456213172
0,cat,Unknown,under age/weight,stray,0.019164955509924708,-0.721231497126271
0,cat,Neutered,fractious,stray,3.0006844626967832,0.189925758223632
0,rabbit,Male,normal,stray,0.999315537303217,-0.42169587048231766
0,cat,Spayed,normal,stray,1.998631074606434,-0.11630340197661093
0,dog,Male,normal,owner surrender,3.2087611225188226,0.2535143270083818
0,dog,Female,under age/weight,stray,0.08487337440109514,-0.7011508964574027
0,cat,Female,under age/weight,stray,0.08487337440109514,-0.7011508964574027
0,cat,Unknown,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,dog,Spayed,normal,owner surrender,0.2245037645448323,-0.6584796200360574
0,dog,Neutered,injured moderate,welfare seized,1.998631074606434,-0.11630340197661093
0,dog,Male,normal,stray,0.33401779603011633,-0.62501195225461
0,dog,Male,normal,welfare seized,0.999315537303217,-0.42169587048231766
0,rabbit,Spayed,normal,owner surrender,2.001368925393566,-0.11546671028207477
0,dog,Male,normal,owner surrender,4.999315537303217,0.8007106952350455
0,cat,Spayed,ill mild,stray,1.998631074606434,-0.11630340197661093
0,dog,Male,normal,stray,9.284052019164955,2.1101331971841715
0,cat,Male,under age/weight,stray,0.09308692676249145,-0.6986408213737941
0,cat,Male,under age/weight,stray,0.049281314168377825,-0.7120278884863731
0,cat,Female,injured severe,stray,12,2.9401313581640647
0,dog,Female,normal,stray,3.0006844626967832,0.189925758223632
0,cat,Female,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,dog,Spayed,normal,owner surrender,9.681040383299111,2.231453492891918
0,cat,Male,injured severe,stray,3.0006844626967832,0.189925758223632
0,reptile,Unknown,normal,other,1.002053388090349,-0.42085917878778145
0,dog,Spayed,normal,stray,0.999315537303217,-0.42169587048231766
0,dog,Male,normal,stray,0.999315537303217,-0.42169587048231766
0,cat,Male,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,cat,Neutered,ill severe,stray,4,0.4953182267293386
0,dog,Female,normal,owner surrender,9.998631074606434,2.328509729458115
0,cat,Male,normal,stray,0.16700889801505817,-0.6760501456213172
0,dog,Male,normal,stray,2.9979466119096507,0.1890890665290957
0,cat,Unknown,under age/weight,stray,0,-0.7270883389880244
0,cat,Male,normal,stray,0.16700889801505817,-0.6760501456213172
0,cat,Female,normal,stray,0.24914442162902123,-0.6509493947852317
0,dog,Male,normal,stray,0.4134154688569473,-0.6007478931130608
0,cat,Male,under age/weight,stray,0.09582477754962354,-0.6978041296792579
0,dog,Male,normal,stray,10.99794661190965,2.6339021979638217
0,cat,Male,injured mild,stray,0.2518822724161533,-0.6501127030906956
0,dog,Male,normal,stray,0.999315537303217,-0.42169587048231766
0,cat,Male,under age/weight,stray,0.08487337440109514,-0.7011508964574027
0,cat,Male,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,dog,Neutered,normal,stray,6.997946611909651,1.411495632246459
0,dog,Male,normal,stray,2.9979466119096507,0.1890890665290957
0,cat,Spayed,normal,owner surrender,0.4188911704312115,-0.5990745097239883
0,dog,Female,injured moderate,stray,9.998631074606434,2.328509729458115
0,cat,Neutered,injured mild,stray,3.0006844626967832,0.189925758223632
0,dog,Neutered,normal,stray,2.4941820670773445,0.03513779473443819
0,cat,Male,under age/weight,stray,0.15879534565366188,-0.6785602207049258
0,cat,Female,under age/weight,stray,0.008213552361396304,-0.7245782639044158
0,cat,Female,fractious,owner surrender,0.8295687885010267,-0.47357075554356093
0,dog,Female,normal,stray,3.14031485284052,0.23259703464497722
0,cat,Unknown,ill severe,stray,0.10130047912388775,-0.6961307462901856
0,dog,Female,normal,welfare seized,1.998631074606434,-0.11630340197661093
0,dog,Spayed,normal,stray,0.7474332648870636,-0.49867150637964647
0,cat,Neutered,normal,stray,4,0.4953182267293386
0,cat,Neutered,injured severe,stray,0.999315537303217,-0.42169587048231766
0,dog,Neutered,normal,stray,7.926078028747433,1.6951341166942249
0,dog,Male,normal,stray,3.786447638603696,0.43005627455551637
0,cat,Neutered,injured moderate,stray,5.9958932238193015,1.1052664720462158
0,cat,Spayed,normal,stray,0.243668720054757,-0.652622778174304
0,dog,Neutered,normal,stray,4.999315537303217,0.8007106952350455
0,dog,Male,normal,stray,3.0006844626967832,0.189925758223632
0,cat,Neutered,normal,stray,0.28199863107460643,-0.6409090944507975
0,cat,Male,normal,stray,0.5859000684462696,-0.5480363163572812
0,cat,Spayed,normal,stray,0.16700889801505817,-0.6760501456213172
0,dog,Female,normal,stray,2.001368925393566,-0.11546671028207477
0,cat,Male,under age/weight,stray,0.08487337440109514,-0.7011508964574027
0,dog,Neutered,normal,stray,11.997262149212867,2.9392946664695283
0,cat,Female,under age/weight,stray,0.04380561259411362,-0.7137012718754454
0,cat,Neutered,injured severe,stray,1.995893223819302,-0.11714009367114711
0,cat,Neutered,fractious,stray,5.9986310746064335,1.106103163740752
0,rabbit,Female,normal,stray,3.0006844626967832,0.189925758223632
0,cat,Female,under age/weight,stray,0.08487337440109514,-0.7011508964574027
0,cat,Female,under age/weight,stray,0.0027378507871321013,-0.7262516472934881
0,dog,Unknown,normal,other,0.01642710472279261,-0.7220681888208074
0,cat,Female,under age/weight,stray,0.12594113620807665,-0.68860052103936
0,cat,Female,under age/weight,stray,0.09856262833675565,-0.6969674379847217
0,cat,Female,normal,stray,1.4182067077344285,-0.2936820412182817
0,dog,Spayed,normal,welfare seized,0.999315537303217,-0.42169587048231766
0,cat,Male,ill moderate,stray,5.002053388090349,0.8015473869295816
0,cat,Male,normal,stray,0.13963039014373715,-0.684417062566679
0,cat,Female,under age/weight,stray,0.07665982203969883,-0.7036609715410113
0,dog,Male,under age/weight,stray,0.09308692676249145,-0.6986408213737941
0,dog,Male,normal,stray,10.984257357973991,2.629718739491141
0,cat,Spayed,normal,stray,1.998631074606434,-0.11630340197661093
0,cat,Male,under age/weight,stray,0.07392197125256673,-0.7044976632355474
0,cat,Female,normal,stray,2.001368925393566,-0.11546671028207477
0,cat,Female,normal,confiscate,0.4188911704312115,-0.5990745097239883
0,dog,Male,normal,stray,5.9986310746064335,1.106103163740752
0,cat,Unknown,injured mild,stray,0.5859000684462696,-0.5480363163572812
0,dog,Neutered,normal,stray,2.001368925393566,-0.11546671028207477
0,dog,Male,ill moderate,owner surrender,0,-0.7270883389880244
0,rabbit,Neutered,normal,owner surrender,0.4134154688569473,-0.6007478931130608
0,dog,Female,normal,stray,4,0.4953182267293386
0,dog,Female,normal,return,1.919233401779603,-0.1405674611181602
0,cat,Male,normal,stray,0.008213552361396304,-0.7245782639044158
0,cat,Spayed,normal,stray,1.998631074606434,-0.11630340197661093
0,cat,Female,under age/weight,stray,0.038329911019849415,-0.7153746552645178
0,cat,Female,under age/weight,stray,0.06023271731690623,-0.7086811217082283
0,cat,Female,ill mild,stray,13.998631074606434,3.5509162951754782
0,dog,Female,normal,stray,3.0006844626967832,0.189925758223632
0,dog,Male,normal,stray,2.001368925393566,-0.11546671028207477
0,cat,Neutered,ill moderate,stray,4,0.4953182267293386
0,dog,Male,normal,other,1.002053388090349,-0.42085917878778145
0,cat,Female,feral,owner surrender,7.000684462696783,1.4123323239409948
0,dog,Spayed,normal,owner surrender,11.000684462696784,2.634738889658358
0,cat,Female,ill mild,stray,0.08213552361396304,-0.7019875881519388
0,cat,Spayed,other,stray,0.10403832991101986,-0.6952940545956494
0,cat,Male,under age/weight,stray,0.08213552361396304,-0.7019875881519388
0,dog,Neutered,normal,other,5.336071184120465,0.9036237736629957
0,cat,Female,ill moderate,stray,0.09582477754962354,-0.6978041296792579
0,cat,Neutered,normal,stray,8,1.7177247924467018
0,cat,Neutered,normal,stray,2.001368925393566,-0.11546671028207477
0,cat,Female,normal,stray,0.2518822724161533,-0.6501127030906956
0,dog,Spayed,normal,stray,3.7700205338809036,0.42503612438829935
0,cat,Female,normal,owner surrender,8,1.7177247924467018
0,cat,Male,normal,owner surrender,0.999315537303217,-0.42169587048231766
0,dog,Female,normal,stray,5.245722108145106,0.8760129477433017
0,dog,Male,injured moderate,stray,0.999315537303217,-0.42169587048231766
0,cat,Spayed,normal,stray,2.9924709103353866,0.18741568314002335
0,cat,Neutered,normal,stray,0.12320328542094455,-0.6894372127338961
0,cat,Female,normal,stray,0.2080766598220397,-0.6634997702032744
0,cat,Spayed,normal,owner surrender,9.998631074606434,2.328509729458115
0,cat,Spayed,fractious,stray,1.002053388090349,-0.42085917878778145
0,cat,Female,normal,stray,1.998631074606434,-0.11630340197661093
0,cat,Spayed,normal,stray,0.4928131416837782,-0.5764838339715115
0,cat,Male,under age/weight,stray,0.06844626967830253,-0.7061710466246197
0,reptile,Male,normal,stray,2.9979466119096507,0.1890890665290957
0,cat,Female,normal,stray,4.999315537303217,0.8007106952350455
0,cat,Male,ill moderate,stray,4,0.4953182267293386
0,rabbit,Spayed,normal,stray,2.001368925393566,-0.11546671028207477
0,dog,Neutered,normal,stray,1.998631074606434,-0.11630340197661093
0,dog,Male,normal,stray,1.7987679671457906,-0.17738189567775228
0,cat,Unknown,under age/weight,stray,0.0027378507871321013,-0.7262516472934881
0,cat,Neutered,injured severe,stray,9.078713210130047,2.0473813200939577
0,cat,Spayed,injured moderate,stray,1.998631074606434,-0.11630340197661093
0,dog,Female,normal,stray,0.8323066392881588,-0.4727340638490248
